league,position,player_name,team_2025,mlbam_id
AL,C,Cal Raleigh,SEA,
AL,1B,Nick Kurtz,ATH,
AL,2B,Jazz Chisholm Jr.,NYY,
AL,SS,Bobby Witt Jr.,KC,
AL,3B,Jose Ramirez,CLE,
AL,OF,Aaron Judge,NYY,
AL,OF,Byron Buxton,MIN,
AL,OF,Riley Greene,DET,
AL,DH,George Springer,TOR,
AL,Util,Zach McKinstry,DET,
NL,C,Hunter Goodman,COL,
NL,1B,Pete Alonso,NYM,
NL,2B,Ketel Marte,AZ,
NL,SS,Geraldo Perdomo,AZ,
NL,3B,Manny Machado,SD,
NL,OF,Juan Soto,NYM,
NL,OF,Corbin Carroll,AZ,
NL,OF,Kyle Tucker,CHC,
NL,DH,Shohei Ohtani,LAD,
NL,Util,Alec Burleson,STL,
